StudentID,Level,Program,Country,Gender,IntakeYear,Status
STU000300,Foundation,Law,China,Female,2021,Deferred
STU000301,PhD,Engineering,Indonesia,Male,2021,Active
STU000302,Master,Chemistry,Thailand,Male,2024,Deferred
STU000303,Diploma,Mathematics,Japan,Female,2024,Deferred
STU000304,PhD,Biology,Philippines,Female,2019,Deferred
STU000305,Master,Computer Science,Japan,Female,2023,Active
STU000306,Bachelor,Biology,Singapore,Female,2023,Active
STU000307,Foundation,Engineering,United Kingdom,Female,2023,Deferred
STU000308,Foundation,Arts,United States,Female,2023,Graduated
STU000309,PhD,Economics,United Kingdom,Female,2021,Deferred
STU000310,Master,Psychology,South Korea,Female,2020,Graduated
STU000311,PhD,Biology,Malaysia,Male,2024,Graduated
STU000312,PhD,Medicine,Vietnam,Female,2020,Deferred
STU000313,Diploma,Biology,Australia,Male,2024,Deferred
STU000314,Master,Medicine,Australia,Female,2022,Graduated
STU000315,PhD,Psychology,China,Female,2022,Graduated
STU000316,Master,Computer Science,Vietnam,Female,2019,Active
STU000317,PhD,Arts,Philippines,Female,2024,Deferred
STU000318,PhD,Arts,China,Male,2023,Deferred
STU000319,Bachelor,Mathematics,China,Male,2020,Deferred
STU000320,Bachelor,Psychology,Singapore,Male,2019,Deferred
STU000321,Diploma,Engineering,Singapore,Female,2023,Graduated
STU000322,Master,Engineering,China,Female,2021,Deferred
STU000323,Foundation,Engineering,Japan,Female,2020,Deferred
STU000324,Diploma,Psychology,Indonesia,Male,2019,Deferred
STU000325,Diploma,Business Administration,Japan,Female,2019,Active
STU000326,Foundation,Business Administration,Japan,Male,2024,Active
STU000327,Master,Computer Science,Canada,Male,2024,Deferred
STU000328,Foundation,Biology,India,Male,2023,Graduated
STU000329,PhD,Medicine,United Kingdom,Male,2021,Deferred
STU000330,Bachelor,Business Administration,Singapore,Female,2022,Active
STU000331,Bachelor,Computer Science,United Kingdom,Female,2024,Graduated
STU000332,PhD,Chemistry,Japan,Male,2022,Deferred
STU000333,Foundation,Mathematics,Philippines,Male,2023,Active
STU000334,PhD,Psychology,Australia,Female,2019,Active
STU000335,PhD,Mathematics,Singapore,Female,2019,Deferred
STU000336,Foundation,Engineering,India,Female,2020,Deferred
STU000337,Foundation,Business Administration,Japan,Male,2023,Graduated
STU000338,PhD,Biology,United States,Male,2019,Active
STU000339,PhD,Computer Science,United Kingdom,Female,2022,Deferred
STU000340,Master,Mathematics,Singapore,Female,2023,Active
STU000341,PhD,Economics,India,Female,2024,Active
STU000342,Master,Chemistry,Philippines,Male,2020,Graduated
STU000343,PhD,Business Administration,Thailand,Female,2022,Graduated
STU000344,PhD,Law,Indonesia,Female,2019,Graduated
STU000345,PhD,Chemistry,Canada,Female,2023,Active
STU000346,Diploma,Engineering,Philippines,Female,2024,Deferred
STU000347,Diploma,Arts,India,Female,2024,Graduated
STU000348,Diploma,Mathematics,Philippines,Male,2020,Active
STU000349,Bachelor,Computer Science,Canada,Male,2022,Deferred
STU000350,Master,Mathematics,China,Male,2019,Active
STU000351,Foundation,Medicine,United Kingdom,Male,2020,Deferred
STU000352,Bachelor,Engineering,South Korea,Male,2020,Active
STU000353,Diploma,Computer Science,Malaysia,Female,2019,Active
STU000354,Foundation,Physics,India,Female,2023,Graduated
STU000355,Diploma,Computer Science,Singapore,Female,2020,Graduated
STU000356,PhD,Psychology,India,Female,2024,Graduated
STU000357,Foundation,Law,Philippines,Female,2019,Deferred
STU000358,Diploma,Business Administration,China,Male,2023,Graduated
STU000359,Diploma,Arts,Vietnam,Female,2019,Graduated
STU000360,PhD,Computer Science,India,Female,2023,Graduated
STU000361,Diploma,Business Administration,China,Male,2021,Deferred
STU000362,Master,Physics,Australia,Male,2023,Deferred
STU000363,Bachelor,Mathematics,Japan,Male,2022,Graduated
STU000364,Diploma,Economics,South Korea,Male,2022,Deferred
STU000365,Diploma,Chemistry,Malaysia,Female,2023,Active
STU000366,Foundation,Mathematics,United Kingdom,Female,2021,Graduated
STU000367,Foundation,Chemistry,India,Male,2019,Deferred
STU000368,Master,Engineering,Singapore,Female,2020,Graduated
STU000369,Bachelor,Arts,United States,Female,2021,Active
STU000370,PhD,Economics,Thailand,Male,2022,Graduated
STU000371,PhD,Biology,Malaysia,Female,2020,Active
STU000372,Foundation,Psychology,Singapore,Male,2022,Graduated
STU000373,Master,Engineering,Malaysia,Female,2024,Deferred
STU000374,Bachelor,Biology,Vietnam,Female,2021,Graduated
STU000375,Foundation,Law,South Korea,Female,2020,Graduated
STU000376,Diploma,Biology,Thailand,Male,2021,Deferred
STU000377,Foundation,Physics,Philippines,Male,2023,Deferred
STU000378,PhD,Arts,South Korea,Male,2019,Active
STU000379,Bachelor,Biology,Philippines,Male,2023,Active
STU000380,Diploma,Arts,Vietnam,Male,2022,Active
STU000381,PhD,Biology,Singapore,Female,2024,Deferred
STU000382,Diploma,Economics,United States,Male,2023,Deferred
STU000383,Foundation,Psychology,Canada,Male,2021,Graduated
STU000384,Bachelor,Physics,Thailand,Female,2022,Graduated
STU000385,Diploma,Mathematics,United States,Female,2023,Graduated
STU000386,PhD,Law,Indonesia,Female,2020,Graduated
STU000387,PhD,Arts,China,Male,2021,Active
STU000388,PhD,Arts,Singapore,Female,2023,Deferred
STU000389,Diploma,Law,Canada,Female,2024,Active
STU000390,PhD,Medicine,Singapore,Female,2020,Deferred
STU000391,Bachelor,Chemistry,Philippines,Female,2021,Graduated
STU000392,Bachelor,Medicine,Philippines,Female,2019,Deferred
STU000393,Foundation,Medicine,China,Male,2023,Graduated
STU000394,Diploma,Law,United Kingdom,Female,2022,Active
STU000395,Bachelor,Chemistry,Philippines,Male,2019,Deferred
STU000396,Master,Psychology,South Korea,Male,2020,Deferred
STU000397,Diploma,Biology,Philippines,Female,2021,Graduated
STU000398,Master,Mathematics,South Korea,Male,2019,Active
STU000399,Bachelor,Psychology,Canada,Female,2024,Graduated
STU000400,Bachelor,Arts,Malaysia,Female,2022,Graduated
STU000401,Bachelor,Arts,United States,Male,2021,Deferred
STU000402,Diploma,Business Administration,Philippines,Female,2020,Active
STU000403,Master,Physics,India,Female,2019,Deferred
STU000404,PhD,Computer Science,Canada,Male,2023,Graduated
STU000405,Master,Economics,Japan,Female,2024,Deferred
STU000406,PhD,Chemistry,United States,Female,2019,Graduated
STU000407,Master,Law,Malaysia,Female,2022,Deferred
STU000408,PhD,Biology,China,Male,2022,Graduated
STU000409,PhD,Engineering,Australia,Female,2022,Graduated
STU000410,Bachelor,Chemistry,Philippines,Male,2020,Graduated
STU000411,Bachelor,Computer Science,Philippines,Male,2021,Graduated
STU000412,Foundation,Computer Science,India,Male,2020,Active
STU000413,Master,Chemistry,India,Female,2023,Active
STU000414,Foundation,Computer Science,South Korea,Female,2023,Active
STU000415,PhD,Mathematics,Vietnam,Male,2022,Active
STU000416,Foundation,Chemistry,China,Female,2020,Active
STU000417,Diploma,Physics,Australia,Male,2022,Deferred
STU000418,Master,Biology,Indonesia,Female,2021,Active
STU000419,PhD,Business Administration,Philippines,Male,2024,Graduated
STU000420,Master,Biology,United States,Female,2019,Graduated
STU000421,Bachelor,Psychology,Indonesia,Male,2020,Graduated
STU000422,Bachelor,Economics,Thailand,Male,2022,Deferred
STU000423,Bachelor,Engineering,Singapore,Female,2023,Graduated
STU000424,Foundation,Physics,United Kingdom,Male,2019,Graduated
STU000425,PhD,Law,China,Female,2023,Graduated
STU000426,Master,Chemistry,Japan,Male,2020,Active
STU000427,Master,Medicine,Japan,Female,2022,Deferred
STU000428,PhD,Economics,South Korea,Female,2020,Active
STU000429,PhD,Mathematics,Malaysia,Male,2022,Graduated
STU000430,Diploma,Engineering,United States,Female,2024,Active
STU000431,Bachelor,Business Administration,Malaysia,Female,2019,Graduated
STU000432,Diploma,Medicine,United Kingdom,Male,2020,Active
STU000433,Foundation,Business Administration,United States,Female,2021,Active
STU000434,Master,Medicine,Vietnam,Male,2024,Active
STU000435,PhD,Economics,Australia,Male,2022,Graduated
STU000436,Bachelor,Engineering,Japan,Female,2021,Active
STU000437,Master,Psychology,Vietnam,Female,2024,Graduated
STU000438,Bachelor,Computer Science,Thailand,Male,2021,Deferred
STU000439,Bachelor,Chemistry,Philippines,Male,2023,Deferred
STU000440,Foundation,Biology,India,Female,2021,Graduated
STU000441,Diploma,Engineering,United States,Female,2021,Active
STU000442,Bachelor,Law,Philippines,Male,2020,Deferred
STU000443,Foundation,Computer Science,Singapore,Female,2019,Deferred
STU000444,Master,Biology,United States,Male,2021,Active
STU000445,Master,Economics,United States,Female,2024,Deferred
STU000446,PhD,Medicine,South Korea,Female,2020,Deferred
STU000447,Master,Chemistry,India,Female,2022,Graduated
STU000448,Diploma,Biology,United Kingdom,Male,2019,Deferred
STU000449,Foundation,Law,Indonesia,Female,2023,Active
STU000450,Master,Mathematics,United Kingdom,Female,2019,Active
STU000451,Foundation,Arts,Vietnam,Male,2021,Deferred
STU000452,PhD,Biology,Australia,Male,2019,Active
STU000453,Bachelor,Economics,Philippines,Male,2021,Deferred
STU000454,Bachelor,Physics,Japan,Male,2024,Deferred
STU000455,Master,Business Administration,Vietnam,Female,2019,Deferred
STU000456,Bachelor,Medicine,Singapore,Male,2022,Active
STU000457,Master,Business Administration,United States,Male,2019,Graduated
STU000458,PhD,Biology,South Korea,Female,2020,Graduated
STU000459,Bachelor,Arts,Thailand,Female,2021,Deferred
STU000460,Bachelor,Biology,Japan,Male,2021,Deferred
STU000461,Foundation,Engineering,Singapore,Female,2021,Graduated
STU000462,PhD,Arts,India,Female,2020,Active
STU000463,PhD,Arts,Canada,Male,2023,Active
STU000464,Bachelor,Biology,Thailand,Male,2019,Graduated
STU000465,Master,Mathematics,Australia,Female,2022,Graduated
STU000466,Master,Biology,Indonesia,Female,2023,Active
STU000467,Foundation,Computer Science,United States,Female,2019,Deferred
STU000468,Foundation,Medicine,Japan,Male,2022,Deferred
STU000469,Bachelor,Biology,Australia,Male,2019,Graduated
STU000470,Bachelor,Biology,Philippines,Female,2020,Graduated
STU000471,Diploma,Biology,Singapore,Male,2019,Deferred
STU000472,Foundation,Arts,Japan,Female,2024,Active
STU000473,Bachelor,Arts,Philippines,Female,2024,Active
